allele	cell_id	pos	x	y	z
129	22	15	166486.585809685	63909.8080645168	5601.20100729859
129	22	17	166323.600763701	64091.2803036953	5626.2906513252
129	22	18	166445.508797949	63953.1594379485	5470.27203032181
129	22	19	166320.73563817	63971.4723006166	5725.71102095778
129	22	20	166278.726953588	63999.5302030389	5895.71994168185
129	22	21	166325.294856592	63993.2075652245	5880.11241700652
129	22	22	166404.159477664	64100.4809831519	5891.95378787404
129	22	23	166354.459696331	64013.9296466702	5723.68385978011
129	22	24	166455.718826558	63956.0970365775	5424.58625245065
129	22	25	166394.975132309	64062.621898165	5882.90593219002
129	22	26	166415.439122369	64143.0231621896	5896.95478414813
129	22	27	166485.066968868	64124.5904824908	5867.48836040247
129	22	28	166329.753030274	64212.6278357932	5584.4965358806
129	22	30	166345.341106662	64108.2252205526	5615.29856656573
129	22	31	166370.294437061	64135.4445055483	5590.52528363649
129	22	32	166443.13195835	64055.916962737	5401.72208478235
129	22	33	166465.833802988	64089.094273798	5766.29890080522
129	22	34	166411.151308399	64246.4327332773	5477.31500636111
129	22	35	166331.099318208	64273.911532525	5424.38708721533
129	22	36	166479.289126914	64116.8393390017	5828.86069495603
129	22	37	166426.263025343	64350.417262324	5470.25631731299
129	22	38	166371.296562499	64284.780908658	5564.13363682789
129	22	40	166411.767772946	64084.0604109131	5609.99998820323
129	23	0	144831.990820224	67203.2099601244	4408.20977266502
129	23	4	144725.737279118	67336.5311426736	4395.19729959833
129	23	5	144801.045329121	67416.8898274777	4226.57033925725
129	23	6	144752.799996153	67102.3260440502	4518.72956865627
129	23	7	145000.622738653	67207.7045783235	4169.22743165818
129	23	8	144572.881497839	67034.4375384879	4440.33887413236
129	23	10	144914.057320798	67210.8821542775	4114.58024334439
129	23	12	144779.542131839	67226.7501505049	4367.71906194185
129	23	17	145060.062181115	67269.320889452	4217.83351505143
129	23	18	144843.688211615	67173.9941918405	4429.11325367693
129	23	19	144700.086928454	67527.2482299153	4186.91095814761
129	23	20	145002.430225775	67304.9422013032	4212.76400135515
129	23	22	144779.444639283	67353.9469390857	4351.15775546051
129	23	26	144804.514054269	67292.5385043879	4049.82553766836
129	23	27	144806.186331121	67261.1648170862	4120.89031013892
