allele	cell_id	pos	x	y	z
CAST	35	28	14269.0694229335	88046.4931639528	4525.46608011378
CAST	35	29	14308.3987575565	87863.5362933443	4442.67815163581
CAST	35	31	14090.5674936336	87687.8320732522	4481.80987904448
CAST	35	32	14298.1277153364	87883.4563306205	4457.89624819874
CAST	35	33	14228.1834592763	87539.2710988978	4449.21511075491
CAST	35	34	13966.0851621928	87584.2690135389	4489.88849317149
CAST	35	35	14224.7647895677	87934.6092641312	4370.72925044948
CAST	35	36	14132.7121648435	87650.1624433856	4501.56333644347
CAST	35	37	14117.8748246016	87766.9483444337	4421.95897357887
CAST	35	38	14240.9545615518	87909.1004771523	4359.61642722168
CAST	35	40	13980.1232055302	87701.0487608617	4515.97926520167
CAST	36	0	140759.421946661	84409.0581443226	1593.21532667558
CAST	36	3	141014.930437657	84443.5045809147	1287.63761452244
CAST	36	5	140751.136516309	84180.8400324625	1345.9746143155
CAST	36	6	140697.914923004	83828.6462441322	2255.94217035781
CAST	36	7	140893.707058429	84446.8625724232	1485.61052425456
CAST	36	8	140925.603557728	84477.4483841737	1581.60996274932
CAST	36	9	140944.88511232	84266.1821911314	1639.11403517365
CAST	36	10	140943.720020231	84277.0091769347	1613.43389927962
CAST	36	11	140880.096987694	84419.0851116367	1583.31220428279
CAST	36	12	140753.314892932	84451.9070446543	1644.92968800478
CAST	36	13	140755.700508704	84516.1518549453	1726.80126341668
CAST	36	14	140764.144482786	84476.9042698323	1614.13268073908
CAST	36	15	140955.05061413	84287.1453197902	1641.7819865852
CAST	36	16	140930.59747244	84266.3799938929	1679.09033921282
CAST	36	18	140913.758552426	84463.4233624356	1336.34299125853
CAST	36	19	140920.814355842	84436.1558897837	1488.68395983877
CAST	36	20	141010.444350127	84994.0468376134	1199.39346807019
CAST	36	21	140786.138957348	85006.3413426776	1421.9849372621
CAST	36	22	140884.582824373	84416.9398568216	1723.4450873757
CAST	36	23	140945.670082272	84452.26129648	1742.552320476
CAST	36	25	140896.353826726	84424.1196842801	1619.09053631009
CAST	36	26	140884.667148165	84459.3497652342	1500.74422293078
CAST	36	27	140742.981707528	84347.269325422	1737.85589460297
