hyb	chr_num	allele	cell_id	z	x	y	z.hat	x.hat	y.hat
18	1675	CAST	11015	5126.47546122284	40025.3498654285	101120.722472571	27.3931470958057	368.694082251682	926.343965505063
21	1675	CAST	11015	5937.1876198272	40167.2580984433	101129.059697887	31.4467078888275	369.995992646312	926.420453810711
22	1675	CAST	11015	5858.18144709191	40201.5113665094	101128.517846108	31.0516770251511	370.310242812057	926.415482693472
25	1675	CAST	11015	6169.47551854766	40157.3486018044	101143.522033202	32.6081473824298	369.905079833111	926.553135786083
31	1675	CAST	11015	6043.5808650735	40022.3564343651	101171.21444556	31.978674115059	368.666619581375	926.80719461505
32	1675	CAST	11015	5929.16366741818	40016.9853698364	101047.495413372	31.4065881267824	368.61734376001	925.672157622502
34	1675	CAST	11015	6108.47114199461	40137.8804204549	101153.552706559	32.3031254996645	369.726472664768	926.645160312295
35	1675	CAST	11015	6165.48708537162	40496.0094652905	101350.257203169	32.5882052165496	373.012060232067	928.44978872156
36	1675	CAST	11015	5968.92244376934	40008.5957548208	101330.497032299	31.6053820085382	368.540374814913	928.26850275027
37	1675	CAST	11015	6193.1546207871	40032.3933985683	101214.730486245	32.726542893627	368.758701821771	927.206424346104
38	1675	CAST	11015	5248.1361411197	40257.1564718177	101272.047992848	28.00145049529	370.820748365343	927.732273030538
39	1675	CAST	11015	5966.95616577423	40181.7751189207	101188.720636296	31.5955506185627	370.129176320417	926.967801869508
40	1675	CAST	11015	6017.78783630332	40575.8515306339	101173.631093419	31.8497089712081	373.744556244392	926.829365696327
5	1688	CAST	11022	8053.87513595522	108610.550593273	116600.558632404	42.0301454694676	997.916107277778	1068.36081100812
6	1688	CAST	11022	8335.80050465444	108653.413306115	116581.751901536	43.4397723129637	998.309343175407	1068.18827219281
7	1688	CAST	11022	8441.42228246	108491.11844363	116540.311025183	43.9678812019915	996.82039948289	1067.80808066664
8	1688	CAST	11022	8111.24897003877	108639.064844541	116880.696043581	42.3170146398854	998.177705913264	1070.93087900056
9	1688	CAST	11022	8275.15178124726	108541.223220963	116663.937121812	43.1365286959278	997.280076339157	1068.94226503938
11	1688	CAST	11022	8327.0541278882	108630.019045592	116739.400538424	43.3960404291325	998.094716932082	1069.63458996243
12	1688	CAST	11022	8629.96936819857	108537.074709854	116462.362732899	44.9106166306844	997.242016604205	1067.09295871908
14	1688	CAST	11022	8084.52079753389	108669.857559426	116844.484773234	42.1833737773609	998.460207884684	1070.59866551115
15	1688	CAST	11022	7801.36842244042	108791.321642289	116734.886592594	40.7676119018936	999.574557268752	1069.59317761536
19	1688	CAST	11022	7704.6459335142	108644.320368228	116747.844384551	40.2839994572625	998.225921726906	1069.71205644065
21	1688	CAST	11022	8426.73986634472	108655.01659529	116637.768711973	43.8944691214151	998.324052250414	1068.7021878849
22	1688	CAST	11022	8492.29701459509	108681.513958911	116695.364295341	44.222254862667	998.567147329505	1069.23058773231
23	1688	CAST	11022	8471.67117180967	108663.520782041	116703.000627607	44.1191256487398	998.402072312349	1069.30064582649
24	1688	CAST	11022	8121.09440552204	108811.300298347	116742.807171802	42.3662418173017	999.757847691305	1069.66584347966
25	1688	CAST	11022	8335.30727454299	108642.814174294	116913.463081814	43.4373061624065	998.212103433937	1071.23149403022
26	1688	CAST	11022	8247.43528457105	108820.462478398	116750.83024115	42.9979462125468	999.841904389017	1069.73944962047
27	1688	CAST	11022	8555.48080776511	108663.593281612	116647.45553412	44.5381738285171	998.402737446023	1068.79105781285
28	1688	CAST	11022	8286.48299287751	108258.79683702	116948.561141986	43.1931847540791	994.689008596554	1071.55349458226
29	1688	CAST	11022	8174.14379656691	108698.725031128	116626.453239102	42.6314887725261	998.725047074615	1068.59837620718
30	1688	CAST	11022	8322.66609584733	108746.622182378	116594.521195773	43.3741002689281	999.164470480574	1068.30542168123
32	1688	CAST	11022	8491.17628992408	108266.224946506	116752.722149216	44.2166512393119	994.757156390004	1069.7568065752
33	1688	CAST	11022	8348.2185659052	108284.045866584	116579.142182857	43.5018626192175	994.920651069622	1068.16432981961
35	1688	CAST	11022	8362.80096518139	108489.143351932	116697.27694784	43.5747746155984	996.802279375564	1069.24813500294
36	1688	CAST	11022	8290.07340823266	108306.645719389	116676.460564369	43.2111368308548	995.127989168746	1069.05715900779
37	1688	CAST	11022	8719.01676196001	108672.995256741	116653.290574825	45.3558535994915	998.488994098586	1068.84459029638
38	1688	CAST	11022	8410.22887757212	108456.173687519	116519.630160762	43.8119141775521	996.499805390122	1067.61834796553
40	1688	CAST	11022	8527.2247472538	108736.519021237	116782.930400006	44.3968935259605	999.071780928827	1070.0339464907
0	1697	CAST	11026	3959.66657596994	16211.0862498494	124531.181605989	21.5591026695412	150.214599539947	1141.11881994009
1	1697	CAST	11026	3984.01851366326	16143.559678742	124472.8926094	21.6808623580078	149.595089713273	1140.58405850349
2	1697	CAST	11026	3925.40878968756	16543.0196576109	124649.471582665	21.3878137381293	153.259860161612	1142.20404908391
5	1697	CAST	11026	4075.65157880959	16206.9899485874	124351.483408558	22.1390276837395	150.177018794424	1139.47021262421
6	1697	CAST	11026	4001.87362415489	16183.0199403959	124287.946964987	21.770137910466	149.957110462391	1138.88730947218
7	1697	CAST	11026	4301.0392812863	16607.5884019398	124555.769145287	23.265966196123	153.852233962794	1141.34439369511
8	1697	CAST	11026	4357.70885999312	16598.2225276975	124524.426476411	23.5493140896571	153.76630851103	1141.05684627424
12	1697	CAST	11026	3968.95134875348	16441.2982106095	124313.85625986	21.6055265334589	152.326635877195	1139.12500942514
13	1697	CAST	11026	3945.82094132642	16429.6439839738	124366.235516227	21.4898744963236	152.219716366776	1139.60555306154
14	1697	CAST	11026	4218.70451794624	16434.1446329419	124375.37588558	22.8542923794227	152.261006724281	1139.68940966111
15	1697	CAST	11026	4169.01342706433	16475.8505002405	124256.316566159	22.6058369250131	152.643629360048	1138.59712232697
16	1697	CAST	11026	4116.32187949237	16432.512508968	124406.692953216	22.3423791871534	152.246033109842	1139.97672220823
17	1697	CAST	11026	4280.18418846314	16525.9772592663	124899.444876271	23.1616907320072	153.103507883221	1144.49738205277
18	1697	CAST	11026	4283.6675710556	16258.1617149869	124514.428215926	23.1791076449695	150.646484541208	1140.96511911382
19	1697	CAST	11026	3470.45524897118	16487.8436612327	124916.934255341	19.1130460345474	152.753658359976	1144.65783507176
21	1697	CAST	11026	4095.33376275143	16448.9837445788	124437.776160762	22.2374386034486	152.397145363152	1140.26188924993
23	1697	CAST	11026	4214.45143405325	16396.3231208021	124382.149101604	22.8330269599578	151.914020374375	1139.75154925766
24	1697	CAST	11026	4100.80170061954	16589.3267610159	124540.917860847	22.2647782927892	153.684695972666	1141.20814337916
25	1697	CAST	11026	3974.87046316154	16819.9666670058	124540.894592125	21.6351221054992	155.800658412941	1141.20792990464
26	1697	CAST	11026	4081.00183089292	16379.5351609069	124277.929030562	22.1657789441561	151.760002393685	1138.7954018169
28	1697	CAST	11026	4139.43062718396	16024.3676704015	124211.530266429	22.4579229256113	148.501585049598	1138.18623884321
29	1697	CAST	11026	4378.06750060071	16481.3006680938	124510.73816768	23.651107292695	152.693630899987	1140.93126546019
30	1697	CAST	11026	4181.63389998035	15950.0097356076	124260.618443146	22.6689392895932	147.819402161582	1138.63658908832
32	1697	CAST	11026	4230.51208967883	16369.7055657429	124347.592297194	22.9133302380856	151.669822621538	1139.43451435481
35	1697	CAST	11026	4564.47835799959	16657.0786861503	124181.969341212	24.5831615796895	154.306273267477	1137.91503769442
