pos	cell_id	x	y	z	label
2	5	101252.32530291108	29708.339659334153	4549.089910872617	0
3	5	101205.457952901	29984.9153745363	4648.52619713735	0
4	5	101174.157373823	30033.1453485267	4564.4353121146105	0
5	5	101158.653484458	29859.9227350879	4379.739296459989	0
6	5	101290.42358968084	29856.24485857288	4592.982119330875	0
7	5	101271.919044447	30132.7213609034	4567.77146673906	0
8	5	101240.188123074	30122.1798029672	4533.61145621484	0
9	5	100943.667185674	29754.0836308442	4295.00977929379	0
10	5	100951.897218137	30186.6683716422	4388.53781218394	0
11	5	100970.60288791	30236.6414211292	4326.95500641046	0
12	5	100854.25339881632	29851.32238223371	4397.227606023339	0
13	5	100956.225151612	30090.604135613303	4563.64493786024	0
14	5	100902.418712869	29845.8435397595	4694.60163538118	0
15	5	100884.82265930674	29729.725852860258	4500.000478769211	0
16	5	100894.104764264	29861.8730602682	4762.71566714331	0
17	5	100939.721488944	29878.5588723197	4753.3394821793	0
18	5	101181.483454379	30362.3136889079	4550.68694799089	0
19	5	100983.776507583	29889.8078126931	4622.943390448229	0
20	5	100943.562129646	29930.040802521802	4637.12108180038	0
21	5	100805.57849765698	29874.123846484305	4488.268899117885	0
22	5	100782.69238551114	29954.4199128047	4512.720051437923	0
23	5	100963.051713489	29928.5185374854	4717.43624790698	0
24	5	100814.82554337084	30054.289515149805	4502.590547957026	0
25	5	100960.22567168098	29940.0576099027	4684.49800507734	0
26	5	100881.50318996598	29978.10596245205	4402.472952698768	0
27	5	101041.547169652	30150.7677854267	4463.03736532257	0
28	5	101106.513283853	29627.2556926762	4268.48374199421	0
29	5	101117.610673788	29647.5572151941	4228.93996304842	0
30	5	101122.444859768	29703.0845846064	4286.50093421311	0
31	5	101038.36767566	29786.5166293063	4392.47039859204	0
32	5	101230.534349561	29914.0283347875	4449.44103107551	0
33	5	101013.906701188	29862.0864918824	4632.68400797705	0
34	5	101015.776200187	29852.4154426496	4574.45569552737	0
35	5	101084.605072357	29970.9661024444	4642.42466195472	0
36	5	100958.563711221	29731.3145027869	4983.192807624551	0
37	5	100858.663202484	29714.3711922358	4907.4006700368	0
38	5	100712.289638072	29679.9712054381	4834.31991279295	0
39	5	101146.115513689	29790.5617560298	4614.0437990404	0
40	5	101273.493969341	29975.0795486224	4303.60571628377	0
0	22	166479.765862057	64060.2933421208	5239.15720917178	0
1	22	166331.433806494	64239.7144964534	5370.06214546851	0
2	22	166326.14203675702	64115.3426002995	5376.58291889785	0
3	22	166048.15455700978	64072.806880036	5509.214642308473	0
4	22	166043.71712711095	63984.456688218495	5577.574535499449	0
5	22	166399.003258102	64033.2612903263	5580.80421518912	0
6	22	166078.16889389273	64166.54387076656	5643.530805871478	0
7	22	166292.056829157	64159.0195654386	5511.213395925551	0
8	22	166316.363566721	64019.5636075126	5437.0341692711	0
9	22	166431.319270351	63980.2269177913	5694.8907796594	0
10	22	166482.460727923	63962.1499002447	5832.72182616453	0
11	22	166441.308928367	63991.227890198	5778.00969128768	0
12	22	166364.85227992	64011.7389070232	5400.19283154909	0
13	22	166231.04571490313	63850.74798986398	5647.056576925589	0
14	22	166491.33774561997	63873.2126941555	5638.60677395125	0
15	22	166486.585809685	63909.80806451681	5601.20100729859	0
16	22	166316.70439402995	63805.36342907914	5607.666974451493	0
17	22	166323.600763701	64091.280303695305	5626.2906513252	0
18	22	166445.508797949	63953.1594379485	5470.27203032181	0
19	22	166320.73563817	63971.4723006166	5725.711020957781	0
20	22	166278.726953588	63999.5302030389	5895.71994168185	0
21	22	166325.294856592	63993.2075652245	5880.11241700652	0
22	22	166404.159477664	64100.4809831519	5891.95378787404	0
23	22	166354.459696331	64013.9296466702	5723.68385978011	0
24	22	166455.718826558	63956.0970365775	5424.58625245065	0
25	22	166394.975132309	64062.621898165	5882.90593219002	0
26	22	166415.439122369	64143.0231621896	5896.95478414813	0
27	22	166485.06696886796	64124.5904824908	5867.48836040247	0
28	22	166329.753030274	64212.627835793195	5584.4965358806	0
29	22	166231.67720050013	64257.80601541951	5733.809098731625	0
