cell_id	pos	x	y	z
5	29.0	101117.610673788	29647.5572151941	4228.93996304842
5	30.0	101122.444859768	29703.0845846064	4286.50093421311
5	31.0	101038.36767566	29786.5166293063	4392.47039859204
5	32.0	101230.534349561	29914.0283347875	4449.44103107551
5	33.0	101013.906701188	29862.0864918824	4632.68400797705
5	34.0	101015.776200187	29852.4154426496	4574.45569552737
5	35.0	101084.605072357	29970.9661024444	4642.42466195472
5	36.0	100958.563711221	29731.3145027869	4983.19280762455
5	37.0	100858.663202484	29714.3711922358	4907.4006700368
5	38.0	100712.289638072	29679.9712054381	4834.31991279295
5	39.0	101146.115513689	29790.5617560298	4614.0437990404
5	40.0	101273.493969341	29975.0795486224	4303.60571628377
22	0.0	166479.765862057	64060.2933421208	5239.15720917178
22	1.0	166331.433806494	64239.7144964534	5370.06214546851
22	2.0	166326.142036757	64115.3426002995	5376.58291889785
22	3.0	166320.85026702	63990.97070414559	5383.1036923271895
22	4.0	166359.926762561	64012.115997235946	5481.953953758155
22	5.0	166399.003258102	64033.2612903263	5580.80421518912
22	6.0	166345.5300436295	64096.14042788245	5546.008805557335
22	7.0	166292.056829157	64159.0195654386	5511.21339592555
22	8.0	166316.363566721	64019.5636075126	5437.0341692711
22	9.0	166431.319270351	63980.2269177913	5694.8907796594
22	10.0	166482.460727923	63962.1499002447	5832.72182616453
22	11.0	166441.308928367	63991.227890198	5778.00969128768
22	12.0	166364.85227992	64011.7389070232	5400.19283154909
22	13.0	166428.09501276998	63942.47580058935	5519.39980275017
22	14.0	166491.33774562	63873.2126941555	5638.60677395125
22	15.0	166486.585809685	63909.8080645168	5601.20100729859
22	16.0	166405.09328669298	64000.54418410605	5613.745829311895
22	17.0	166323.600763701	64091.2803036953	5626.2906513252
22	18.0	166445.508797949	63953.1594379485	5470.27203032181
22	19.0	166320.73563817	63971.4723006166	5725.71102095778
22	20.0	166278.726953588	63999.5302030389	5895.71994168185
22	21.0	166325.294856592	63993.2075652245	5880.11241700652
22	22.0	166404.159477664	64100.4809831519	5891.95378787404
22	23.0	166354.459696331	64013.9296466702	5723.68385978011
22	24.0	166455.718826558	63956.0970365775	5424.58625245065
22	25.0	166394.975132309	64062.621898165	5882.90593219002
22	26.0	166415.439122369	64143.0231621896	5896.95478414813
22	27.0	166485.066968868	64124.5904824908	5867.48836040247
22	28.0	166329.753030274	64212.6278357932	5584.4965358806
22	29.0	166337.547068468	64160.4265281729	5599.897551223165
22	30.0	166345.341106662	64108.2252205526	5615.29856656573
22	31.0	166370.294437061	64135.4445055483	5590.52528363649
22	32.0	166443.13195835	64055.916962737	5401.72208478235
22	33.0	166465.833802988	64089.094273798	5766.29890080522
22	34.0	166411.151308399	64246.4327332773	5477.31500636111
22	35.0	166331.099318208	64273.911532525	5424.38708721533
22	36.0	166479.289126914	64116.8393390017	5828.86069495603
22	37.0	166426.263025343	64350.417262324	5470.25631731299
22	38.0	166371.296562499	64284.780908658	5564.13363682789
22	39.0	166391.5321677225	64184.42065978555	5587.06681251556
22	40.0	166411.767772946	64084.0604109131	5609.99998820323
23	0.0	144831.990820224	67203.2099601244	4408.20977266502
23	1.0	144703.55599966802	67189.5118665949	4570.330496472754
23	2.0	144575.12117911203	67175.8137730654	4732.451220280488
23	3.0	144650.42922911502	67256.1724578695	4563.824259939409
